DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,Level1Count,Level1Percentage,Level2Count,Level2Percentage,Level3Count,Level3Percentage,Level4Count,Level4Percentage,Level3And4Count,Level3And4Percentage
01M019,P.S. 019 ASHER LEVY,4,2014,Female,16,321,3,18.8,4,25,5,31.3,4,25,9,56.3
01M019,P.S. 019 ASHER LEVY,4,2014,Male,18,311,4,22.2,4,22.2,5,27.8,5,27.8,10,55.6
01M019,P.S. 019 ASHER LEVY,4,2015,Female,21,324,2,9.5,3,14.3,9,42.9,7,33.3,16,76.2
01M019,P.S. 019 ASHER LEVY,4,2015,Male,11,319,2,18.2,3,27.3,2,18.2,4,36.4,6,54.5
01M019,P.S. 019 ASHER LEVY,5,2013,Female,18,303,6,33.3,9,50,3,16.7,0,0,3,16.7
01M019,P.S. 019 ASHER LEVY,5,2013,Male,18,305,5,27.8,7,38.9,5,27.8,1,5.6,6,33.3
01M019,P.S. 019 ASHER LEVY,5,2014,Female,15,296,5,33.3,6,40,4,26.7,0,0,4,26.7
01M019,P.S. 019 ASHER LEVY,5,2014,Male,20,298,7,35,9,45,3,15,1,5,4,20
01M019,P.S. 019 ASHER LEVY,5,2015,Female,15,331,1,6.7,6,40,3,20,5,33.3,8,53.3
01M019,P.S. 019 ASHER LEVY,5,2015,Male,15,322,2,13.3,6,40,5,33.3,2,13.3,7,46.7
01M019,P.S. 019 ASHER LEVY,All Grades,2013,Female,54,300,19,35.2,19,35.2,11,20.4,5,9.3,16,29.6
01M019,P.S. 019 ASHER LEVY,All Grades,2013,Male,60,301,18,30,18,30,20,33.3,4,6.7,24,40
01M019,P.S. 019 ASHER LEVY,All Grades,2014,Female,56,312,10,17.9,20,35.7,18,32.1,8,14.3,26,46.4
01M019,P.S. 019 ASHER LEVY,All Grades,2014,Male,48,303,17,35.4,13,27.1,10,20.8,8,16.7,18,37.5
01M019,P.S. 019 ASHER LEVY,All Grades,2015,Female,52,320,6,11.5,16,30.8,17,32.7,13,25,30,57.7
01M019,P.S. 019 ASHER LEVY,All Grades,2015,Male,38,315,7,18.4,13,34.2,11,28.9,7,18.4,18,47.4
01M020,P.S. 020 ANNA SILVER,3,2013,Female,33,301,8,24.2,15,45.5,5,15.2,5,15.2,10,30.3
01M020,P.S. 020 ANNA SILVER,3,2013,Male,46,303,12,26.1,16,34.8,13,28.3,5,10.9,18,39.1
01M020,P.S. 020 ANNA SILVER,3,2014,Female,51,296,19,37.3,14,27.5,11,21.6,7,13.7,18,35.3
01M020,P.S. 020 ANNA SILVER,3,2014,Male,46,296,17,37,12,26.1,11,23.9,6,13,17,37
01M020,P.S. 020 ANNA SILVER,3,2015,Female,44,291,18,40.9,15,34.1,5,11.4,6,13.6,11,25
01M020,P.S. 020 ANNA SILVER,3,2015,Male,48,306,14,29.2,10,20.8,14,29.2,10,20.8,24,50
01M020,P.S. 020 ANNA SILVER,4,2013,Female,35,292,12,34.3,11,31.4,10,28.6,2,5.7,12,34.3
01M020,P.S. 020 ANNA SILVER,4,2013,Male,40,296,11,27.5,16,40,11,27.5,2,5,13,32.5
01M020,P.S. 020 ANNA SILVER,4,2014,Female,30,303,10,33.3,8,26.7,6,20,6,20,12,40
01M020,P.S. 020 ANNA SILVER,4,2014,Male,35,298,11,31.4,11,31.4,8,22.9,5,14.3,13,37.1
01M020,P.S. 020 ANNA SILVER,4,2015,Female,47,286,22,46.8,10,21.3,8,17,7,14.9,15,31.9
