DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,Level1Count,Level1Percentage,Level2Count,Level2Percentage,Level3Count,Level3Percentage,Level4Count,Level4Percentage,Level3And4Count,Level3And4Percentage
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2013,Former ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2014,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2014,EP,33,297,11,33.3,15,45.5,4,12.1,3,9.1,7,21.2
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2014,Former ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2015,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2015,EP,28,293,6,21.4,17,60.7,5,17.9,0,0,5,17.9
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2013,ELL,5,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2013,EP,24,296,7,29.2,14,58.3,3,12.5,0,0,3,12.5
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2013,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2014,ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2014,EP,37,295,14,37.8,16,43.2,5,13.5,2,5.4,7,18.9
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2014,Former ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2015,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2015,EP,33,296,12,36.4,13,39.4,4,12.1,4,12.1,8,24.2
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2013,ELL,4,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2013,EP,47,292,16,34,23,48.9,6,12.8,2,4.3,8,17
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2013,Former ELL,5,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2014,ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2014,EP,36,296,12,33.3,15,41.7,6,16.7,3,8.3,9,25
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2014,Former ELL,4,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2015,ELL,5,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2015,EP,45,299,10,22.2,25,55.6,7,15.6,3,6.7,10,22.2
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2015,Former ELL,4,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2013,ELL,4,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2013,EP,41,292,14,34.1,25,61,2,4.9,0,0,2,4.9
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2013,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2014,ELL,4,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2014,EP,50,301,15,30,23,46,9,18,3,6,12,24
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2014,Former ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2015,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2015,EP,37,295,12,32.4,14,37.8,11,29.7,0,0,11,29.7
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2015,Former ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2013,ELL,5,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2013,EP,38,294,13,34.2,19,50,6,15.8,0,0,6,15.8
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2014,ELL,5,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2014,EP,50,291,15,30,24,48,10,20,1,2,11,22
