DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,Level1Count,Level1Percentage,Level2Count,Level2Percentage,Level3Count,Level3Percentage,Level4Count,Level4Percentage,Level3And4Count,Level3And4Percentage
01M064,P.S. 064 ROBERT SIMON,4,2015,EP,35,295,10,28.6,16,45.7,6,17.1,3,8.6,9,25.7
01M064,P.S. 064 ROBERT SIMON,4,2015,Former ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,5,2013,ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,5,2013,EP,35,292,14,40,14,40,5,14.3,2,5.7,7,20
01M064,P.S. 064 ROBERT SIMON,5,2013,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,5,2014,ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,5,2014,EP,35,293,15,42.9,14,40,6,17.1,0,0,6,17.1
01M064,P.S. 064 ROBERT SIMON,5,2015,ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,5,2015,EP,32,286,19,59.4,9,28.1,3,9.4,1,3.1,4,12.5
01M064,P.S. 064 ROBERT SIMON,5,2015,Former ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,All Grades,2013,ELL,8,282,5,62.5,2,25,1,12.5,0,0,1,12.5
01M064,P.S. 064 ROBERT SIMON,All Grades,2013,EP,103,282,52,50.5,41,39.8,8,7.8,2,1.9,10,9.7
01M064,P.S. 064 ROBERT SIMON,All Grades,2013,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,All Grades,2014,ELL,8,298,1,12.5,4,50,3,37.5,0,0,3,37.5
01M064,P.S. 064 ROBERT SIMON,All Grades,2014,EP,102,292,38,37.3,45,44.1,16,15.7,3,2.9,19,18.6
01M064,P.S. 064 ROBERT SIMON,All Grades,2014,Former ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,All Grades,2015,ELL,9,300,3,33.3,4,44.4,0,0,2,22.2,2,22.2
01M064,P.S. 064 ROBERT SIMON,All Grades,2015,EP,102,294,37,36.3,42,41.2,16,15.7,7,6.9,23,22.5
01M064,P.S. 064 ROBERT SIMON,All Grades,2015,Former ELL,8,321,1,12.5,1,12.5,5,62.5,1,12.5,6,75
